<! Entity=北京 type=短期日内母线负荷预测   createTime='2019-05-23 14:04:02' !>
<StSysLf::北京>
@ID NAME V01 V02 V03 V04 V05 V06 V07 V08 V09 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V45 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V62 V63 V64 V65 V66 V67 V68 V69 V70 V71 V72 V73 V74 V75 V76 V77 V78 V79 V80 V81 V82 V83 V84 V85 V86 V87 V88 V89 V90 V91 V92 V93 V94 V95 V96
#11 魏善庄牵引站/220kV.3#主变-高 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
#12 清河/220kV.4#主变-高 70.4805 68.3573 68.7112 71.1881 70.4805 71.1881 73.6651 73.6651 76.1421 77.2036 75.0805 78.2652 77.2036 77.9113 75.7882 76.8497 75.4343 74.3728 77.2036 75.4343 75.4343 76.1421 76.8497 76.8497 76.7207 76.9789 75.6881 74.3728 73.3113 74.0189 71.1881 69.0651 65.1727 64.4649 59.511 57.034 52.0802 49.957 47.4801 43.2338 44.3848 43.2682 41.5934 40.4768 39.3602 39.081 38.2436 37.9644 37.9644 37.127 37.127 36.8478 36.2895 36.5686 36.2895 35.7312 36.2895 36.5686 36.5686 37.127 38.5227 39.081 40.7559 42.9891 46.0598 47.4555 50.247 51.6428 55.5508 55.83 57.784 61.9713 64.2045 65.3211 67.2752 68.6709 69.2292 70.625 72.0207 73.4165 73.9748 74.5331 73.6956 72.8582 73.6956 73.4165 75.0914 74.5331 73.6956 72.579 72.579 70.3458 73.6956 71.4624 72.0207 72.0207
#13 左安门/220kV.2#主变-高 32.9168 31.565 33.067 31.7153 32.1659 32.8417 31.7153 34.0434 33.6679 32.9919 36.2215 35.9211 33.2924 35.9211 33.3675 35.17 30.5887 32.3912 33.5928 36.7471 38.6999 35.5455 34.7945 34.3438 34.1936 33.743 32.0908 32.6164 33.9683 30.0629 31.9406 29.7625 28.7861 26.0073 24.1298 22.7779 21.2757 19.3231 18.572 15.7932 17.7936 17.3712 16.4208 15.84 15.4176 15.3648 14.8896 14.4144 14.4144 14.256 14.3616 13.8864 13.6752 13.6752 13.6224 13.6224 13.5168 13.5696 13.5696 14.4144 15.1008 15.84 16.1568 17.8992 19.7472 19.6416 21.1728 22.3872 24.3408 23.7072 25.0272 25.2384 25.872 26.2944 28.1424 29.304 29.7264 31.3104 31.5216 32.2608 32.5248 33.3168 34.2144 32.9472 34.0032 35.1648 34.2672 35.3232 34.4256 34.2144 35.112 34.848 34.2672 35.2176 33.4224 34.3728
#14 魏善庄牵引站/220kV.2#主变-高 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
#15 高碑店/220kV.4#主变-高 37.1124 35.3647 35.3447 36.6081 38.952 36.444 36.5044 37.5463 38.3086 38.0611 38.1864 38.0336 39.1528 39.6002 37.8256 37.4292 39.8471 39.1275 41.1628 40.8753 40.6394 41.4635 42.9038 42.5179 42.8963 41.8199 43.4539 43.2277 44.9307 43.5853 41.6084 39.4494 40.7444 37.4076 37.959 35.002 33.312 31.6926 30.3397 29.5855 26.0552 26.725 23.376 23.1081 23.1751 21.6345 21.3666 20.8978 20.8978 20.3619 23.9119 20.027 19.7591 19.6251 21.0317 21.3666 22.3713 22.9072 19.2233 21.0317 27.1269 22.5053 24.6486 23.51 25.9213 29.1363 26.3901 27.3948 31.1457 23.8449 33.49 36.3701 35.2315 38.7814 36.772 39.0493 33.557 42.8002 37.0399 39.4512 38.4465 36.906 35.4324 35.4994 37.6428 36.705 37.5088 40.188 39.5182 37.6428 38.1786 37.4418 35.1645 34.6956 35.0305 35.6334
#16 朝阳门/220kV.3#主变-高 115.2934 114.274 114.2742 115.2935 116.6519 115.5197 118.0079 119.592 116.8771 126.7183 119.5915 120.7231 119.3658 123.8901 119.3657 119.0257 115.859 121.1765 115.4058 116.4235 120.8364 119.8174 121.7419 123.7774 117.7812 116.4235 116.6503 113.256 107.9383 107.7122 104.658 101.8287 93.0047 88.9313 87.3471 83.8404 83.6132 79.2017 74.6762 73.2048 66.4992 65.9991 64.8991 62.8997 61.1002 60.2003 59.6003 58.7005 57.8005 57.4005 55.4001 55.1001 54.7896 55.1002 54.7144 55.1002 56.3 56.1 55.1001 57.1005 58.2003 59.4001 62.4997 66.3999 69.5002 71.7002 76.8505 82.0007 86.0003 89.9999 94.6998 97.6996 104.3006 106.5994 107.9006 112.8994 114.0999 118.0001 119.7997 124.2997 124.2994 122.8002 123.7005 123.4996 123.7008 124.6002 125.2001 126.6995 125.1995 125.9999 124.0994 125.6998 123.7994 122.4003 122.9999 123.0994
#17 上庄/220kV.2#主变-高 90.7006 91.0782 91.0782 92.2109 92.2109 92.966 92.5884 94.8537 94.4762 94.4762 95.9864 93.7211 95.2313 93.7211 92.966 91.4558 90.3231 88.8129 89.9455 87.3027 87.3027 86.9251 87.3027 86.9251 86.17 86.17 86.5475 85.4149 83.1496 82.772 81.2618 79.7516 76.7311 74.0883 71.4454 70.3127 68.0474 66.1596 63.1392 62.0065 62.6263 61.6216 60.282 58.9424 58.2726 57.6028 56.933 56.933 56.5981 56.2632 56.2632 56.4986 56.1483 56.1266 55.5193 55.8776 56.0326 56.2891 55.9283 55.9283 57.2679 58.2726 59.9471 61.6216 63.631 65.6404 67.6498 69.9941 72.3384 73.678 76.3572 80.376 83.0552 86.7391 88.7485 90.423 92.0975 93.772 94.7767 96.1163 96.1163 96.4512 96.1163 96.1163 96.4512 95.4465 95.4465 96.4512 95.4465 95.4465 93.772 93.4371 93.1022 93.4371 93.772 94.4418
#18 信息港/220kV.1#主变-高 18.2067 18.2119 18.1337 18.1755 18.4294 18.5257 19.599 19.108 19.0246 18.8827 19.4283 18.4098 17.984 17.8602 17.7574 17.5125 17.3575 18.9256 18.5141 17.7704 18.2067 19.5703 19.2656 18.4893 19.7552 18.9282 19.5391 18.6261 18.2757 17.9853 17.9163 17.4083 16.6973 16.1945 15.8781 15.193 14.629 13.9922 13.6392 14.715 12.8674 13.1789 12.5954 12.5506 11.942 12.1836 11.8364 11.6992 11.1923 10.7448 11.0418 11.4616 11.7137 10.9811 10.2828 11.6648 11.7084 11.4893 10.82 11.5038 12.0859 12.3605 13.5379 12.2298 13.7161 14.0686 14.2217 16.1053 15.6684 14.7602 15.8611 16.76 17.8358 17.7065 17.8794 18.3216 18.3863 18.348 18.6476 19.1783 19.4146 19.4977 20.324 19.3565 19.1057 19.0133 18.6292 18.6754 18.509 18.6767 19.6693 18.6463 18.4642 18.4919 18.4589 18.4034
#19 翠林/220kV.2214未运行 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
#20 西大望/220kV.3#主变-高 74.4042 73.6905 73.405 73.6905 73.8332 76.8308 74.8324 74.547 74.9751 75.4034 77.9726 74.2615 74.6896 72.6913 72.9768 74.4042 68.5519 71.264 69.9793 69.5511 65.9826 68.4091 65.9826 63.8415 62.4142 61.8432 62.5569 59.5594 58.4175 56.7046 53.2789 53.1362 49.1395 47.2839 46.5702 44.2864 44.4291 42.5735 41.5743 40.1469 35.1643 33.9085 32.7921 32.234 31.9549 31.1176 30.699 30.1409 29.8618 29.5827 29.4432 29.3036 29.1641 28.6059 28.6059 28.7454 29.1641 29.3036 29.0245 29.4432 30.2804 31.5363 32.7921 34.4666 36.2807 38.6529 40.6064 43.2577 46.3276 49.258 50.6534 57.6304 62.6539 60.8399 65.1656 70.6077 71.8636 72.4218 74.794 77.3057 75.4917 76.608 77.3057 77.4453 77.7243 77.8639 78.8407 78.422 78.9802 78.9802 79.5384 78.8407 80.3756 78.422 78.0034 79.3988
